,name,athlete_id,gender,score,active,country,rank,price,is_team,links.self,links.results
202,NORDSTROEM Maria,3505591,f,0,True,SWE,87,224,False,https://www.fantasyxc.se/api/athletes/3505591,https://www.fantasyxc.se/api/athletes/3505591/results
203,FLOWERS Erika,3535222,f,0,False,USA,87,229,False,https://www.fantasyxc.se/api/athletes/3535222,https://www.fantasyxc.se/api/athletes/3535222/results
204,FALK Hanna,3505405,f,0,False,SWE,87,609,False,https://www.fantasyxc.se/api/athletes/3505405,https://www.fantasyxc.se/api/athletes/3505405/results
205,POKORNY Annie,3535467,f,0,False,USA,87,219,False,https://www.fantasyxc.se/api/athletes/3535467,https://www.fantasyxc.se/api/athletes/3535467/results
206,YILAMUJIANG Dinigeer,3125103,f,0,True,CHN,87,233,False,https://www.fantasyxc.se/api/athletes/3125103,https://www.fantasyxc.se/api/athletes/3125103/results
207,THOMAS HUGUE Coraline,3195010,f,0,True,FRA,87,215,False,https://www.fantasyxc.se/api/athletes/3195010,https://www.fantasyxc.se/api/athletes/3195010/results
208,SHAPOVALOVA Evgenia,3485221,f,0,False,RUS,87,216,False,https://www.fantasyxc.se/api/athletes/3485221,https://www.fantasyxc.se/api/athletes/3485221/results
209,MONGOLIA I,3725035,f,0,True,MNG,87,371,True,https://www.fantasyxc.se/api/athletes/3725035,https://www.fantasyxc.se/api/athletes/3725035/results
210,STIFFLER Tatjana,3515112,f,0,True,CHE,87,211,False,https://www.fantasyxc.se/api/athletes/3515112,https://www.fantasyxc.se/api/athletes/3515112/results
211,HUSTAD Sofie Nordsveen,3426175,f,0,True,NOR,87,220,False,https://www.fantasyxc.se/api/athletes/3426175,https://www.fantasyxc.se/api/athletes/3426175/results
212,KORVA Anita,3185752,f,0,True,FIN,87,224,False,https://www.fantasyxc.se/api/athletes/3185752,https://www.fantasyxc.se/api/athletes/3185752/results
213,JEAN Aurore,3195056,f,0,False,FRA,87,217,False,https://www.fantasyxc.se/api/athletes/3195056,https://www.fantasyxc.se/api/athletes/3195056/results
214,SNILDALSLI Wenche Aune,3425955,f,0,False,NOR,87,214,False,https://www.fantasyxc.se/api/athletes/3425955,https://www.fantasyxc.se/api/athletes/3425955/results
215,TIKHONOVA Yulia,3665105,f,0,False,BLR,87,227,False,https://www.fantasyxc.se/api/athletes/3665105,https://www.fantasyxc.se/api/athletes/3665105/results
216,QUINTIN Lena,3195263,f,0,True,FRA,87,224,False,https://www.fantasyxc.se/api/athletes/3195263,https://www.fantasyxc.se/api/athletes/3195263/results
217,VLASOVA Anastasia,3485753,f,0,True,RUS,87,225,False,https://www.fantasyxc.se/api/athletes/3485753,https://www.fantasyxc.se/api/athletes/3485753/results
218,STEWART-JONES Katherine,3105214,f,0,False,CAN,87,315,False,https://www.fantasyxc.se/api/athletes/3105214,https://www.fantasyxc.se/api/athletes/3105214/results
219,OBAYASHI Chisa,3305024,f,0,False,JPN,87,220,False,https://www.fantasyxc.se/api/athletes/3305024,https://www.fantasyxc.se/api/athletes/3305024/results
220,SAUERBREY Katherine,3205496,f,0,True,DEU,87,227,False,https://www.fantasyxc.se/api/athletes/3205496,https://www.fantasyxc.se/api/athletes/3205496/results
221,BROWNE Cendrine,3105190,f,0,False,CAN,87,224,False,https://www.fantasyxc.se/api/athletes/3105190,https://www.fantasyxc.se/api/athletes/3105190/results
222,GROHOVA Karolina,3155111,f,0,True,CZE,87,223,False,https://www.fantasyxc.se/api/athletes/3155111,https://www.fantasyxc.se/api/athletes/3155111/results
223,MURAVEVA Zhanna,3485770,f,0,False,RUS,87,224,False,https://www.fantasyxc.se/api/athletes/3485770,https://www.fantasyxc.se/api/athletes/3485770/results
224,SLIND Silje Oeyre,3425355,f,0,True,NOR,87,228,False,https://www.fantasyxc.se/api/athletes/3425355,https://www.fantasyxc.se/api/athletes/3425355/results
225,HOLMES Chelsea,3535372,f,0,False,USA,87,222,False,https://www.fantasyxc.se/api/athletes/3535372,https://www.fantasyxc.se/api/athletes/3535372/results
226,VANEEVA Ksenia,3485701,f,0,False,RUS,87,221,False,https://www.fantasyxc.se/api/athletes/3485701,https://www.fantasyxc.se/api/athletes/3485701/results
227,HAVLICKOVA Barbora,3155356,f,0,True,CZE,87,214,False,https://www.fantasyxc.se/api/athletes/3155356,https://www.fantasyxc.se/api/athletes/3155356/results
228,WIKEN Emma,3505434,f,0,True,SWE,87,213,False,https://www.fantasyxc.se/api/athletes/3505434,https://www.fantasyxc.se/api/athletes/3505434/results
229,SCHUETZOVA Sandra,3155186,f,0,True,CZE,87,227,False,https://www.fantasyxc.se/api/athletes/3155186,https://www.fantasyxc.se/api/athletes/3155186/results
230,JEZERSEK Barbara,3045088,f,0,False,AUS,87,218,False,https://www.fantasyxc.se/api/athletes/3045088,https://www.fantasyxc.se/api/athletes/3045088/results
231,STOROZHILOVA Daria,3486057,f,0,True,RUS,87,215,False,https://www.fantasyxc.se/api/athletes/3486057,https://www.fantasyxc.se/api/athletes/3486057/results
232,SLIND Astrid Oeyre,3425350,f,0,True,NOR,87,220,False,https://www.fantasyxc.se/api/athletes/3425350,https://www.fantasyxc.se/api/athletes/3425350/results
233,NESTERENKO Lada,1194555,f,0,False,UKR,87,231,False,https://www.fantasyxc.se/api/athletes/1194555,https://www.fantasyxc.se/api/athletes/1194555/results
234,NURMI Leena,3185442,f,0,True,FIN,87,216,False,https://www.fantasyxc.se/api/athletes/3185442,https://www.fantasyxc.se/api/athletes/3185442/results
235,HEIMDAL Lovise,3426003,f,0,True,NOR,87,227,False,https://www.fantasyxc.se/api/athletes/3426003,https://www.fantasyxc.se/api/athletes/3426003/results
236,LUKONINA Ina,3665059,f,0,True,BLR,87,229,False,https://www.fantasyxc.se/api/athletes/3665059,https://www.fantasyxc.se/api/athletes/3665059/results
237,SITNIK Natalia,3486030,f,0,False,RUS,87,233,False,https://www.fantasyxc.se/api/athletes/3486030,https://www.fantasyxc.se/api/athletes/3486030/results
238,SMUTNA Katerina,3155373,f,0,True,CZE,87,220,False,https://www.fantasyxc.se/api/athletes/3155373,https://www.fantasyxc.se/api/athletes/3155373/results
239,HICKS Annika,3105133,f,0,False,CAN,87,223,False,https://www.fantasyxc.se/api/athletes/3105133,https://www.fantasyxc.se/api/athletes/3105133/results
240,TAYLOR Annika,3225019,f,0,False,GBR,87,212,False,https://www.fantasyxc.se/api/athletes/3225019,https://www.fantasyxc.se/api/athletes/3225019/results
241,SABIRZIANOVA Diliara,3485008,f,0,True,RUS,87,228,False,https://www.fantasyxc.se/api/athletes/3485008,https://www.fantasyxc.se/api/athletes/3485008/results
242,POVOLIAEVA Anna,3485370,f,0,False,RUS,87,228,False,https://www.fantasyxc.se/api/athletes/3485370,https://www.fantasyxc.se/api/athletes/3485370/results
243,RORABAUGH Becca,3535407,f,0,True,USA,87,218,False,https://www.fantasyxc.se/api/athletes/3535407,https://www.fantasyxc.se/api/athletes/3535407/results
244,ROPONEN Riitta-Liisa,1255374,f,0,True,FIN,87,263,False,https://www.fantasyxc.se/api/athletes/1255374,https://www.fantasyxc.se/api/athletes/1255374/results
245,WINKLER Anne,3205350,f,0,True,DEU,87,213,False,https://www.fantasyxc.se/api/athletes/3205350,https://www.fantasyxc.se/api/athletes/3205350/results
246,PIVOVAROVA Alexandra,3486427,f,0,False,RUS,87,212,False,https://www.fantasyxc.se/api/athletes/3486427,https://www.fantasyxc.se/api/athletes/3486427/results
247,BUSHMAKINA Ekaterina,3486464,f,0,False,RUS,87,233,False,https://www.fantasyxc.se/api/athletes/3486464,https://www.fantasyxc.se/api/athletes/3486464/results
248,BABCHINA Natalia,3485759,f,0,False,RUS,87,215,False,https://www.fantasyxc.se/api/athletes/3485759,https://www.fantasyxc.se/api/athletes/3485759/results
249,ROENNLUND Elina,3505956,f,0,True,SWE,87,440,False,https://www.fantasyxc.se/api/athletes/3505956,https://www.fantasyxc.se/api/athletes/3505956/results
250,JASKOWIEC Sylwia,3435014,f,0,False,POL,87,220,False,https://www.fantasyxc.se/api/athletes/3435014,https://www.fantasyxc.se/api/athletes/3435014/results
251,TJETLAND Renate Bergset,3425865,f,0,True,NOR,87,219,False,https://www.fantasyxc.se/api/athletes/3425865,https://www.fantasyxc.se/api/athletes/3425865/results
252,BATHE Nichole,3535463,f,0,False,GBR,87,220,False,https://www.fantasyxc.se/api/athletes/3535463,https://www.fantasyxc.se/api/athletes/3535463/results
253,NAKSTAD Maria Stroem,3425443,f,0,True,NOR,87,219,False,https://www.fantasyxc.se/api/athletes/3425443,https://www.fantasyxc.se/api/athletes/3425443/results
254,TURKEY I,3525064,f,0,True,TUR,87,445,True,https://www.fantasyxc.se/api/athletes/3525064,https://www.fantasyxc.se/api/athletes/3525064/results
255,CHAMIOT MAITRAL Laura,3195250,f,0,False,FRA,87,219,False,https://www.fantasyxc.se/api/athletes/3195250,https://www.fantasyxc.se/api/athletes/3195250/results
256,MATROSSOVA Marina,3675018,f,0,False,KAZ,87,213,False,https://www.fantasyxc.se/api/athletes/3675018,https://www.fantasyxc.se/api/athletes/3675018/results
257,HAGEN Martine Ek,3425483,f,0,True,NOR,87,217,False,https://www.fantasyxc.se/api/athletes/3425483,https://www.fantasyxc.se/api/athletes/3425483/results
258,KOWALCZYK Justyna,3435001,f,0,False,POL,87,231,False,https://www.fantasyxc.se/api/athletes/3435001,https://www.fantasyxc.se/api/athletes/3435001/results
259,LITHUANIA I,3785050,f,0,True,LTU,87,1557,True,https://www.fantasyxc.se/api/athletes/3785050,https://www.fantasyxc.se/api/athletes/3785050/results
260,OEHRN Rebecca,3505954,f,0,True,SWE,87,225,False,https://www.fantasyxc.se/api/athletes/3505954,https://www.fantasyxc.se/api/athletes/3505954/results
261,HERRMANN Denise,3205075,f,0,False,DEU,87,216,False,https://www.fantasyxc.se/api/athletes/3205075,https://www.fantasyxc.se/api/athletes/3205075/results
262,LOESCHKE Jessica,3205689,f,0,True,DEU,87,215,False,https://www.fantasyxc.se/api/athletes/3205689,https://www.fantasyxc.se/api/athletes/3205689/results
263,PREUSSGER Julia,3205422,f,0,True,DEU,87,230,False,https://www.fantasyxc.se/api/athletes/3205422,https://www.fantasyxc.se/api/athletes/3205422/results
264,BJOERN Mimmi,3505906,f,0,False,SWE,87,233,False,https://www.fantasyxc.se/api/athletes/3505906,https://www.fantasyxc.se/api/athletes/3505906/results
265,SCHICHO Elisabeth,3205260,f,0,False,DEU,87,213,False,https://www.fantasyxc.se/api/athletes/3205260,https://www.fantasyxc.se/api/athletes/3205260/results
266,SLOVAKIA I,3705085,f,0,True,SVK,87,3335,True,https://www.fantasyxc.se/api/athletes/3705085,https://www.fantasyxc.se/api/athletes/3705085/results
267,TIMIRYAEVA Yulia,3486270,f,0,False,RUS,87,222,False,https://www.fantasyxc.se/api/athletes/3486270,https://www.fantasyxc.se/api/athletes/3486270/results
268,SHEVCHENKO Anna,3675035,f,0,True,KAZ,87,211,False,https://www.fantasyxc.se/api/athletes/3675035,https://www.fantasyxc.se/api/athletes/3675035/results
269,MEKRYUKOVA Nataliya,3486901,f,0,True,RUS,87,223,False,https://www.fantasyxc.se/api/athletes/3486901,https://www.fantasyxc.se/api/athletes/3486901/results
270,STEINER Desiree,3515289,f,0,True,CHE,87,227,False,https://www.fantasyxc.se/api/athletes/3515289,https://www.fantasyxc.se/api/athletes/3515289/results
271,MANN Jenny,3205461,f,0,False,DEU,87,232,False,https://www.fantasyxc.se/api/athletes/3205461,https://www.fantasyxc.se/api/athletes/3205461/results
272,KLEMENTOVA Barbora,3705041,f,0,True,SVK,87,222,False,https://www.fantasyxc.se/api/athletes/3705041,https://www.fantasyxc.se/api/athletes/3705041/results
273,LI Xin,3125046,f,0,True,CHN,87,231,False,https://www.fantasyxc.se/api/athletes/3125046,https://www.fantasyxc.se/api/athletes/3125046/results
274,SEVERINA Irina,3486350,f,0,True,RUS,87,225,False,https://www.fantasyxc.se/api/athletes/3486350,https://www.fantasyxc.se/api/athletes/3486350/results
275,MAGNUSSON Anna,3505869,f,0,False,SWE,87,222,False,https://www.fantasyxc.se/api/athletes/3505869,https://www.fantasyxc.se/api/athletes/3505869/results
