,rank,country,price,score,active,athlete_id,is_team,name,gender,links.self,links.results
251,94,NOR,212,0,True,3425865,False,TJETLAND Renate Bergset,f,https://www.fantasyxc.se/api/athletes/3425865,https://www.fantasyxc.se/api/athletes/3425865/results
252,94,CAN,224,0,False,3105190,False,BROWNE Cendrine,f,https://www.fantasyxc.se/api/athletes/3105190,https://www.fantasyxc.se/api/athletes/3105190/results
253,94,CZE,212,0,True,3155111,False,GROHOVA Karolina,f,https://www.fantasyxc.se/api/athletes/3155111,https://www.fantasyxc.se/api/athletes/3155111/results
254,94,TUR,434,0,True,3525064,True,TURKEY I,f,https://www.fantasyxc.se/api/athletes/3525064,https://www.fantasyxc.se/api/athletes/3525064/results
255,94,KAZ,213,0,False,3675018,False,MATROSSOVA Marina,f,https://www.fantasyxc.se/api/athletes/3675018,https://www.fantasyxc.se/api/athletes/3675018/results
256,94,UKR,231,0,False,1194555,False,NESTERENKO Lada,f,https://www.fantasyxc.se/api/athletes/1194555,https://www.fantasyxc.se/api/athletes/1194555/results
257,94,BLR,211,0,True,3665059,False,LUKONINA Ina,f,https://www.fantasyxc.se/api/athletes/3665059,https://www.fantasyxc.se/api/athletes/3665059/results
258,94,MNG,365,0,True,3725035,True,MONGOLIA I,f,https://www.fantasyxc.se/api/athletes/3725035,https://www.fantasyxc.se/api/athletes/3725035/results
259,94,RUS,233,0,False,3486030,False,SITNIK Natalia,f,https://www.fantasyxc.se/api/athletes/3486030,https://www.fantasyxc.se/api/athletes/3486030/results
260,94,RUS,228,0,False,3485370,False,POVOLIAEVA Anna,f,https://www.fantasyxc.se/api/athletes/3485370,https://www.fantasyxc.se/api/athletes/3485370/results
261,94,GBR,220,0,False,3535463,False,BATHE Nichole,f,https://www.fantasyxc.se/api/athletes/3535463,https://www.fantasyxc.se/api/athletes/3535463/results
262,94,NOR,224,0,True,3425443,False,NAKSTAD Maria Stroem,f,https://www.fantasyxc.se/api/athletes/3425443,https://www.fantasyxc.se/api/athletes/3425443/results
263,94,NOR,228,0,True,3425483,False,HAGEN Martine Ek,f,https://www.fantasyxc.se/api/athletes/3425483,https://www.fantasyxc.se/api/athletes/3425483/results
