,name,id,price,sex,points,elo,elo1,race1,elo2,race2,place
25,Jules LAPIERRE,3190398,696,m,0.0203387235856286,1304.35502732359,1246.52571278059,0,1304.35502732359,0.0203387235856286,93
2,Benjamin MOSER,3050267,225,m,0.0156581522082406,1300,1271.81656698449,0.00273390513609368,1300,0.0129242470721469,94
107,Ruslan PEREKHODA,3690030,223,m,0.0125882007605192,1109.53175250725,1283.05565833429,0.0125882007605192,1109.53175250725,0,95
35,Therese JOHAUG,3425301,17338,f,62.6528264214382,1737.07000466461,1486.18429189674,0,1737.07000466461,62.6528264214382,1
75,Jessie DIGGINS,3535410,12202,f,72.6350147436304,1603.42097423197,1650.07050903679,47.1805928611696,1603.42097423197,25.4544218824608,2
74,Rosie BRENNAN,3535316,8317,f,61.2960629239777,1653.12158873993,1556.21764818957,24.4204389165986,1653.12158873993,36.8756240073791,3
37,Ingvild Flugstad OESTBERG,3425410,5305,f,30.1402437692301,1625.23925619078,1571.55794409385,0,1625.23925619078,30.1402437692301,4
43,Tiril Udnes WENG,3426201,3498,f,33.2188829471975,1567.02011622073,1597.2491331402,33.2188829471975,1567.02011622073,0,5
82,Anamarija LAMPIC,3565062,7884,f,44.8302024989086,1427.74618795882,1641.94692516295,44.8302024989086,1427.74618795882,0,6
59,Maja DAHLQVIST,3505800,8768,f,46.766939690986,1369.96211505058,1648.65966763156,46.766939690986,1369.96211505058,0,7
69,Nadine FAEHNDRICH,3515221,6424,f,41.8740959252986,1428.57812554558,1631.3379506421,41.8740959252986,1428.57812554558,0,8
39,Heidi WENG,3425499,8612,f,43.3361581516269,1665.97102909704,1373.37244418284,3.06283226533544,1665.97102909704,40.2733258862915,9
36,Maiken Caspersen FALLA,3425365,3003,f,41.258190051388,1344.16254118832,1629.06842896727,41.258190051388,1344.16254118832,0,10
61,Ebba ANDERSSON,3505990,12309,f,40.8160011326721,1659.53493205632,1356.6863975184,2.26819335481124,1659.53493205632,38.5478077778609,11
66,Frida KARLSSON,3506154,14149,f,40.719261753774,1646.59848471676,1411.65909980357,5.49663961991027,1646.59848471676,35.2226221338637,12
13,Krista PARMAKOSKI,3185256,6642,f,38.542548943495,1596.8391739222,1495.79197659543,14.4046376351967,1596.8391739222,24.1379113082983,13
38,Ragnhild HAGA,3425421,1809,f,23.5765151898032,1593.96346550598,1432.72501163328,0,1593.96346550598,23.5765151898032,14
52,Natalia NEPRYAEVA,3486010,9229,f,30.5935301539168,1597.37231828706,1422.45160483846,6.35061940937523,1597.37231828706,24.2429107445416,15
42,Lotta Udnes WENG,3426200,2600,f,28.1413421991936,1482.07962119228,1534.68446915438,20.4674098050953,1482.07962119228,7.67393239409829,16
23,Victoria CARL,3205403,1780,f,25.9399908474867,1559.5930035727,1445.49771683094,8.44372317042423,1559.5930035727,17.4962676770625,17
50,Tatiana SORINA,3485933,6973,f,23.5070716481197,1547.48623204716,1439.74845426539,7.88610886054839,1547.48623204716,15.6209627875713,18
63,Emma RIBOM,3506008,3533,f,22.3698038939694,1424.72184035654,1526.08743326711,19.0106284643476,1424.72184035654,3.35917542962182,19
12,Kerttu NISKANEN,3185168,2656,f,20.7094910866389,1568.49559413233,1343.61931748112,1.74745563692282,1568.49559413233,18.9620354497161,20
31,Greta LAURENT,3295193,629,f,20.4877676940373,1141.90008813157,1534.80182399597,20.4877676940373,1141.90008813157,0,21
81,Eva UREVC,3565055,1596,f,18.3531087372034,1248.22650481638,1522.07049138799,18.3531087372034,1248.22650481638,0,22
46,Helene Marie FOSSESHOLM,3427109,4227,f,18.2696017424337,1560.83233479932,1300,0.573738481219773,1560.83233479932,17.6958632612139,23
27,Katharina HENNIG,3205460,5083,f,18.2021801944994,1563.03374460445,1266.21978954394,0.14824068391171,1563.03374460445,18.0539395105877,24
54,Yulia STUPAK,3486239,8051,f,17.0459270426295,1506.86584290442,1427.45749965917,6.77349974900655,1506.86584290442,10.2724272936229,25
65,Johanna HAGSTROEM,3506105,4171,f,16.2667304231579,1259.55422745771,1508.68706057068,16.2667304231579,1259.55422745771,0,26
68,Laurien VAN DER GRAAFF,3515087,1645,f,15.9855263450507,1212.2860599468,1506.80177461369,15.9855263450507,1212.2860599468,0,27
76,Julia KERN,3535562,1076,f,13.5351369830084,1296.15355576443,1489.0737413972,13.490562099493,1296.15355576443,0.0445748835154193,28
41,Ane Appelkvist STENSETH,3426112,1238,f,13.0257909743444,1245.02933516122,1485.54701678085,13.0257909743444,1245.02933516122,0,29
8,Katerina JANATOVA,3155324,638,f,12.9417487184586,1292.83712584167,1484.6432843427,12.9083461254502,1292.83712584167,0.0334025930084438,30
